book_id,search_key,book_title,book_subtitle,book_authors,book_description,industryIdentifiers,text_readingModes,image_readingModes,pageCount,categories,language,imageLinks,ratingsCount,averageRating,country,saleability,isEbook,amount_listPrice,currencyCode_listPrice,amount_retailPrice,currencyCode_retailPrice,buyLink,year,publisher
iIpGEAAAQBAJ,python,The Big Book of Small Python Projects,81 Easy Practice Programs,Al Sweigart,"Best-selling author Al Sweigart shows you how to easily build over 80 fun programs with minimal code and maximum creativity. If you’ve mastered basic Python syntax and you’re ready to start writing programs, you’ll find The Big Book of Small Python Projects both enlightening and fun. This collection of 81 Python projects will have you making digital art, games, animations, counting pro- grams, and more right away. Once you see how the code works, you’ll practice re-creating the programs and experiment by adding your own custom touches. These simple, text-based programs are 256 lines of code or less. And whether it’s a vintage screensaver, a snail-racing game, a clickbait headline generator, or animated strands of DNA, each project is designed to be self-contained so you can easily share it online. You’ll create: • Hangman, Blackjack, and other games to play against your friends or the computer • Simulations of a forest fire, a million dice rolls, and a Japanese abacus • Animations like a virtual fish tank, a rotating cube, and a bouncing DVD logo screensaver • A first-person 3D maze game • Encryption programs that use ciphers like ROT13 and Vigenère to conceal text If you’re tired of standard step-by-step tutorials, you’ll love the learn-by-doing approach of The Big Book of Small Python Projects. It’s proof that good things come in small programs!",ISBN_13: 9781718501249; ISBN_10: 1718501242,False,False,433,Computers,en,smallThumbnail: http://books.google.com/books/content?id=iIpGEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api; thumbnail: http://books.google.com/books/content?id=iIpGEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0.0,IN,NOT_FOR_SALE,False,0.0,N/A,0.0,N/A,N/A,2021,No Starch Press
hbJ5DwAAQBAJ,python,Introduction to Python Programming,N/A,"Gowrishankar S, Veena A","Introduction to Python Programming is written for students who are beginners in the field of computer programming. This book presents an intuitive approach to the concepts of Python Programming for students. This book differs from traditional texts not only in its philosophy but also in its overall focus, level of activities, development of topics, and attention to programming details. The contents of the book are chosen with utmost care after analyzing the syllabus for Python course prescribed by various top universities in USA, Europe, and Asia. Since the prerequisite know-how varies significantly from student to student, the book’s overall overture addresses the challenges of teaching and learning of students which is fine-tuned by the authors’ experience with large sections of students. This book uses natural language expressions instead of the traditional shortened words of the programming world. This book has been written with the goal to provide students with a textbook that can be easily understood and to make a connection between what students are learning and how they may apply that knowledge. Features of this book This book does not assume any previous programming experience, although of course, any exposure to other programming languages is useful This book introduces all of the key concepts of Python programming language with helpful illustrations Programming examples are presented in a clear and consistent manner Each line of code is numbered and explained in detail Use of f-strings throughout the book Hundreds of real-world examples are included and they come from fields such as entertainment, sports, music and environmental studies Students can periodically check their progress with in-chapter quizzes that appear in all chapters",ISBN_13: 9781351013215; ISBN_10: 1351013211,True,True,410,Computers,en,smallThumbnail: http://books.google.com/books/content?id=hbJ5DwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api; thumbnail: http://books.google.com/books/content?id=hbJ5DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0.0,IN,NOT_FOR_SALE,False,0.0,N/A,0.0,N/A,N/A,2018,CRC Press
BcN0swEACAAJ,python,Python Tricks,The Book,Dan Bader,"""I don't even feel like I've scratched the surface of what I can do with Python"" With Python Tricks: The Book you'll discover Python's best practices and the power of beautiful & Pythonic code with simple examples and a step-by-step narrative. You'll get one step closer to mastering Python, so you can write beautiful and idiomatic code that comes to you naturally. Learning the ins and outs of Python is difficult-and with this book you'll be able to focus on the practical skills that really matter. Discover the ""hidden gold"" in Python's standard library and start writing clean and Pythonic code today. Who Should Read This Book: If you're wondering which lesser known parts in Python you should know about, you'll get a roadmap with this book. Discover cool (yet practical!) Python tricks and blow your coworkers' minds in your next code review. If you've got experience with legacy versions of Python, the book will get you up to speed with modern patterns and features introduced in Python 3 and backported to Python 2. If you've worked with other programming languages and you want to get up to speed with Python, you'll pick up the idioms and practical tips you need to become a confident and effective Pythonista. If you want to make Python your own and learn how to write clean and Pythonic code, you'll discover best practices and little-known tricks to round out your knowledge. What Python Developers Say About The Book: ""I kept thinking that I wished I had access to a book like this when I started learning Python many years ago."" - Mariatta Wijaya, Python Core Developer ""This book makes you write better Python code!"" - Bob Belderbos, Software Developer at Oracle ""Far from being just a shallow collection of snippets, this book will leave the attentive reader with a deeper understanding of the inner workings of Python as well as an appreciation for its beauty."" - Ben Felder, Pythonista ""It's like having a seasoned tutor explaining, well, tricks!"" - Daniel Meyer, Sr. Desktop Administrator at Tesla Inc.",ISBN_10: 1775093301; ISBN_13: 9781775093305,False,False,302,Computers,en,smallThumbnail: http://books.google.com/books/content?id=BcN0swEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api; thumbnail: http://books.google.com/books/content?id=BcN0swEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1,4.0,IN,NOT_FOR_SALE,False,0.0,N/A,0.0,N/A,N/A,2017,Dan Bader
DjxZEAAAQBAJ,python,The Python Book,N/A,Rob Mastrodomenico,"The Python Book Discover the power of one of the fastest growing programming languages in the world with this insightful new resource The Python Book delivers an essential introductory guide to learning Python for anyone who works with data but does not have experience in programming. The author, an experienced data scientist and Python programmer, shows readers how to use Python for data analysis, exploration, cleaning, and wrangling. Readers will learn what in the Python language is important for data analysis, and why. The Python Book offers readers a thorough and comprehensive introduction to Python that is both simple enough to be ideal for a novice programmer, yet robust to be useful for those more experienced in the language. The book assists budding programmers to gradually increase their skills as they move through the book, always with an understanding of what they are covering and why it is useful. Used by major companies like Google, Facebook, Instagram, Spotify, and more, Python promises to remain central to the programming landscape for years to come. Containing a thorough discussion of Python programming topics like variables, equalities and comparisons, tuple and dictionary data types, while and for loops, and if statements, readers will also learn: How to use highly useful Python programming libraries, including Pandas and Matplotlib How to write Python functions and classes How to write and use Python scripts To deal with different data types within Python Perfect for statisticians, computer scientists, software programmers, and practitioners working in private industry and medicine, The Python Book will also be of interest to students in any of the aforementioned fields. As it assumes no programming experience or knowledge, the book is ideal for those who work with data and want to learn to use Python to enhance their work.",ISBN_13: 9781119573289; ISBN_10: 1119573289,True,True,348,Mathematics,en,smallThumbnail: http://books.google.com/books/content?id=DjxZEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api; thumbnail: http://books.google.com/books/content?id=DjxZEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0.0,IN,FOR_SALE,True,5800.88,INR,5800.88,INR,https://play.google.com/store/books/details?id=DjxZEAAAQBAJ&rdid=book-DjxZEAAAQBAJ&rdot=1&source=gbs_api,2022,John Wiley & Sons
flRFgvAU7N8C,python,Programming in Python 3,A Complete Introduction to the Python Language,Mark Summerfield,"A Fully Revised Edition Featuring New Material on Coroutines, Debugging, Testing, Parsing, String Formatting, and More Python 3 is the best version of the language yet: It is more powerful, convenient, consistent, and expressive than ever before. Now, leading Python programmer Mark Summerfield demonstrates how to write code that takes full advantage of Python 3’s features and idioms. Programming in Python 3, Second Edition, brings together all the knowledge you need to write any program, use any standard or third-party Python 3 library, and create new library modules of your own. Summerfield draws on his many years of Python experience to share deep insights into Python 3 development you won’t find anywhere else. He begins by illuminating Python’s “beautiful heart”: the eight key elements of Python you need to write robust, high-performance programs. Building on these core elements, he introduces new topics designed to strengthen your practical expertise–one concept and hands-on example at a time. Coverage includes Developing in Python using procedural, objectoriented, and functional programming paradigms Creating custom packages and modules Writing and reading binary, text, and XML files, including optional compression, random access, and text and XML parsing Leveraging advanced data types, collections, control structures, and functions Spreading program workloads across multiple processes and threads Programming SQL databases and key—value DBM files Debugging techniques–and using Test Driven Development to avoid bugs in the first place Utilizing Python’s regular expression mini-language and module Parsing techniques, including how to use the third-party PyParsing and PLY modules Building usable, efficient, GUI-based applications Advanced programming techniques, including generators, function and class decorators, context managers, descriptors, abstract base classes, metaclasses, coroutines, and more Programming in Python 3, Second Edition, serves as both tutorial and language reference. It assumes some prior programming experience, and it is accompanied by extensive downloadable example code–all of it tested with Python 3 on Windows, Linux, and Mac OS X.",ISBN_13: 9780321699879; ISBN_10: 0321699874,True,True,648,Computers,en,smallThumbnail: http://books.google.com/books/content?id=flRFgvAU7N8C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api; thumbnail: http://books.google.com/books/content?id=flRFgvAU7N8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0.0,IN,NOT_FOR_SALE,False,0.0,N/A,0.0,N/A,N/A,2009,Addison-Wesley Professional
ePyeNz2Eoy8C,python,Learning Python,Powerful Object-Oriented Programming,Mark Lutz,"""Based on author Mark Lutz's popular training course, this updated fifth edition will help you quickly write efficient, high-quality code with Python. It's an ideal way to begin, whether you're new to programming or a professional developer versed in other languages.""--Provided by publisher.",ISBN_13: 9781449355715; ISBN_10: 1449355714,False,True,1645,Computers,en,smallThumbnail: http://books.google.com/books/content?id=ePyeNz2Eoy8C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api; thumbnail: http://books.google.com/books/content?id=ePyeNz2Eoy8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1,1.0,IN,NOT_FOR_SALE,False,0.0,N/A,0.0,N/A,N/A,2013,"""O'Reilly Media, Inc."""
HFeGvgEACAAJ,python,The Quick Python Book,N/A,"Vernon L. Ceder, Naomi R. Ceder","Introduces the programming language's syntax, control flow, and basic data structures and covers its interaction with applications and mangement of large collections of code.",ISBN_10: 193518220X; ISBN_13: 9781935182207,False,False,336,Computers,en,smallThumbnail: http://books.google.com/books/content?id=HFeGvgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api; thumbnail: http://books.google.com/books/content?id=HFeGvgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0,0.0,IN,NOT_FOR_SALE,False,0.0,N/A,0.0,N/A,N/A,2010,Manning Publications Company
mh0bU6NXrBgC,python,Core Python Programming,N/A,Wesley Chun,"Experts and novices alike will be able to find information about every command they'll need to use Linux. This complete, practical desk reference is organized by function, with a road map-style alphabetical reference for quick access of information about all aspects of running and administering the program. The CD-ROM contains Windows and Linux Python distributions plus extensive cross-platform source code from the book.",ISBN_13: 9780130260369; ISBN_10: 0130260363,False,True,805,Computers,en,smallThumbnail: http://books.google.com/books/content?id=mh0bU6NXrBgC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api; thumbnail: http://books.google.com/books/content?id=mh0bU6NXrBgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,13,3.5,IN,NOT_FOR_SALE,False,0.0,N/A,0.0,N/A,N/A,2001,Prentice Hall Professional
KTgzEAAAQBAJ,python,Classic Computer Science Problems in Swift,Essential techniques for practicing programmers,David Kopec,"Summary Classic Computer Science Problems in Swift invites readers to invest their energy in some foundational techniques that have been proven to stand the test of time. Along the way they'll learn intermediate and advanced features of the Swift programming language, a worthwhile skill in its own right. Purchase of the print book includes a free eBook in PDF, Kindle, and ePub formats from Manning Publications. About the Technology Don't just learn another language. Become a better programmer instead. Today's awesome iOS apps stand on the shoulders of classic algorithms, coding techniques, and engineering principles. Master these core skills in Swift, and you'll be ready for AI, data-centric programming, machine learning, and the other development challenges that will define the next decade. About the Book Classic Computer Science Problems in Swift deepens your Swift language skills by exploring foundational coding techniques and algorithms. As you work through examples in search, clustering, graphs, and more, you'll remember important things you've forgotten and discover classic solutions to your ""new"" problems. You'll appreciate author David Kopec's amazing ability to connect the core disciplines of computer science to the real-world concerns of apps, data, performance, and even nailing your next job interview! What's Inside Breadth-first, depth-first, and A* search algorithms Constraint-satisfaction problems Solving problems with graph algorithms Neural networks, genetic algorithms, and more All examples written in Swift 4.1 About the Reader For readers comfortable with the basics of Swift. About the Author David Kopec is an assistant professor of computer science and innovation at Champlain College in Burlington, Vermont. He is an experienced iOS developer and the author of Dart for Absolute Beginners. Table of Contents Small problems Search problems Constraint-satisfaction problems Graph problems Genetic algorithms K-means clustering Fairly simple neural networks Miscellaneous problems",ISBN_13: 9781638356110; ISBN_10: 1638356114,True,False,322,Computers,en,smallThumbnail: http://books.google.com/books/content?id=KTgzEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api; thumbnail: http://books.google.com/books/content?id=KTgzEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0.0,IN,FOR_SALE,True,2086.24,INR,2086.24,INR,https://play.google.com/store/books/details?id=KTgzEAAAQBAJ&rdid=book-KTgzEAAAQBAJ&rdot=1&source=gbs_api,2018,Simon and Schuster
ZPneDQAAQBAJ,python,"Invent Your Own Computer Games with Python, 4th Edition",N/A,Al Sweigart,"Invent Your Own Computer Games with Python will teach you how to make computer games using the popular Python programming language—even if you’ve never programmed before! Begin by building classic games like Hangman, Guess the Number, and Tic-Tac-Toe, and then work your way up to more advanced games, like a text-based treasure hunting game and an animated collision-dodging game with sound effects. Along the way, you’ll learn key programming and math concepts that will help you take your game programming to the next level. Learn how to: –Combine loops, variables, and flow control statements into real working programs –Choose the right data structures for the job, such as lists, dictionaries, and tuples –Add graphics and animation to your games with the pygame module –Handle keyboard and mouse input –Program simple artificial intelligence so you can play against the computer –Use cryptography to convert text messages into secret code –Debug your programs and find common errors As you work through each game, you’ll build a solid foundation in Python and an understanding of computer science fundamentals. What new game will you create with the power of Python? The projects in this book are compatible with Python 3.",ISBN_13: 9781593277956; ISBN_10: 1593277954,True,True,377,Computers,en,smallThumbnail: http://books.google.com/books/content?id=ZPneDQAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api; thumbnail: http://books.google.com/books/content?id=ZPneDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,2,3.0,IN,NOT_FOR_SALE,False,0.0,N/A,0.0,N/A,N/A,2016,No Starch Press
